Date,Price
May-25,40.1
Jun-25,44.45
Jul-25,68
Aug-25,57.15
Sep-25,46.05
Oct-25,38.65
Nov-25,42.45
Dec-25,50.05
Jan-26,63.45
Feb-26,56.5
Mar-26,44.15
Apr-26,40.75
May-26,42.95
Jun-26,48.2
Jul-26,66.9
Aug-26,58.65
Sep-26,47.6
Oct-26,41
Nov-26,44.05
Dec-26,55.95
Jan-27,63.35
Feb-27,56.95
Mar-27,46.3
Apr-27,43.5
May-27,45.6
Jun-27,49.95
Jul-27,68.95
Aug-27,61.95
Sep-27,49
Oct-27,44.25
Nov-27,46.9
Dec-27,57.5
Jan-28,66.85
Feb-28,60.2
Mar-28,48.85
Apr-28,45.75
May-28,47.8
Jun-28,52.25
Jul-28,71.75
Aug-28,65.1
Sep-28,51.3
Oct-28,45.95
Nov-28,49.3
Dec-28,60.9
Jan-29,69.65
Feb-29,62.7
Mar-29,50.85
Apr-29,47.65
May-29,49.8
Jun-29,54.4
Jul-29,74.7
Aug-29,67.85
Sep-29,53.45
Oct-29,47.8
Nov-29,51.35
Dec-29,63.4
Jan-30,69.65
Feb-30,62.7
Mar-30,50.85
Apr-30,47.65
Jun-30,54.6
